track_id,genre
1,J-Pop
2,Rock
3,J-Pop
4,Rock
5,Pop
6,Rock
7,Pop
8,Pop
9,J-Pop
10,J-Pop
11,J-Pop
12,Rock
13,J-Pop
14,Rock
15,Pop
16,Rock
17,Rock
18,Pop
19,Rock
20,Rock
21,J-Pop
22,J-Pop
23,Pop
24,Pop
25,Pop
26,J-Pop
27,J-Pop
28,J-Pop
29,J-Pop
30,Rock
31,J-Pop
32,J-Pop
33,Rock
34,J-Pop
35,Rock
36,Country
37,Electronic
38,Classical
39,Electronic
40,Rock
41,Rock
42,Electronic
43,Electronic
44,Electronic
45,Electronic
46,Rock
47,Pop
48,Electronic
49,Rock
50,Electronic
51,Electronic
52,Jazz
53,Electronic
54,Pop
55,Rock
56,Pop
57,Pop
58,Rock
59,Rock
60,Electronic
61,Electronic
62,Rock
63,Pop
64,Rock
65,Electronic
66,Electronic
67,Pop
68,Pop
69,Electronic
70,Rock
71,Electronic
72,Electronic
73,Rock
74,Electronic
75,Electronic
76,Pop
77,Rock
78,Rock
79,Electronic
80,Rock
81,Electronic
82,Electronic
83,Rock
84,Rock
85,Electronic
86,Electronic
87,Pop
88,Rock
89,Pop
90,Electronic
91,Electronic
92,Rock
93,Electronic
94,Pop
95,Rock
96,Electronic
97,Rock
98,Rock
99,Rock
100,Electronic
101,Pop
102,Rock
103,Electronic
104,Pop
105,Rock
106,Pop
107,Pop
108,Rock
109,Electronic
110,Rock
111,Electronic
112,Electronic
113,Electronic
114,Electronic
115,Electronic
116,Electronic
117,Electronic
118,Soundtrack
119,Soundtrack
120,Soundtrack
